,maze,steps,maze_final_binary,maze_final_decimal,center_agent,flag_1,flag_2,case_type,move_dominant_agents
0,1,10,['010'],2,S,0,0,,
1,2,10,['010'],2,A,0,0,,
2,3,10,['010'],2,B,0,0,,
3,4,10,['010'],2,S,0,0,,
4,5,10,['101'],5,A,0,0,,
5,6,10,['010'],2,B,0,0,,
6,7,10,['010'],2,S,0,0,,
7,8,10,['010'],2,A,0,0,,
8,9,10,['111'],7,B,0,0,,
9,10,10,['010'],2,S,0,0,,
10,11,10,['010'],2,A,0,0,,
11,12,10,['010'],2,B,0,0,,
12,13,10,['111'],7,S,0,0,,
13,14,10,['010'],2,A,0,0,,
14,15,10,['010'],2,B,0,0,,
15,16,10,['110'],6,S,0,0,,
16,17,10,['111'],7,A,0,0,,
17,18,10,['010'],2,B,0,0,,
18,19,10,['111'],7,S,0,0,,
19,20,10,['101'],5,A,0,0,,
